satindex,dept,exp
75,FINANCE,lt5
56,FINANCE,lt5
72,FINANCE,lt5
59,FINANCE,lt5
62,FINANCE,lt5
66,FINANCE,lt5
67,FINANCE,gt5
71,FINANCE,gt5
59,FINANCE,gt5
62,FINANCE,gt5
66,FINANCE,gt5
58,FINANCE,gt5
58,MARKETING,lt5
63,MARKETING,lt5
53,MARKETING,lt5
74,MARKETING,lt5
77,MARKETING,lt5
69,MARKETING,lt5
57,MARKETING,gt5
70,MARKETING,gt5
68,MARKETING,gt5
51,MARKETING,gt5
64,MARKETING,gt5
55,MARKETING,gt5
72,CS,lt5
69,CS,lt5
77,CS,lt5
71,CS,lt5
59,CS,lt5
70,CS,lt5
67,CS,gt5
73,CS,gt5
74,CS,gt5
60,CS,gt5
62,CS,gt5
65,CS,gt5
